event_name,event_detail,point,skip,move,minigame_id,level
10ポイントGet↑,お店一押しのメニューが美味しかった！,10,0,0,,0
10ポイントGet↑,期間限定のお酒が美味しかった☆,10,0,0,,0
10ポイントGet↑,気になっていたお店へ友達と行ってきた！,10,0,0,,0
10ポイントGet↑,たまには贅沢にお昼飲みをしてみた♪,10,0,0,,0
10ポイントGet↑,飲み会で楽しく過ごせた！,10,0,0,,0
10ポイントGet↑,普段通らない道を進んだら、美味しそうなお店を発見！！,10,0,0,,1
20ポイントGet↑,好みのお酒を見つけて、自分用のお酒を購入～♪,20,0,0,,0
20ポイントGet↑,久しぶりに友達と飲んで盛り上がった♪,20,0,0,,0
20ポイントGet↑,店員さんとのじゃんけんに勝って、注文したお酒が無料になった！,20,0,0,,1
30ポイントGet↑,お仕事を普段よりも頑張った分、お酒と料理が普段よりも美味しかった！,30,0,0,,2
30ポイントGet↑,なんと！くじ引きでハワイの旅行券当選した！！,30,0,0,,2
30ポイントGet↑,資格取得したご褒美に美味しいお店へ連れて行ってもらった♪,30,0,0,,1
10ポイントLost↓,飲み会行き過ぎて金欠気味に...,-10,0,0,,1
10ポイントLost↓,飲みすぎで普段よりも酔ってしまった！,-10,0,0,,0
10ポイントLost↓,帰りに急に大雨が降ってきてびしょ濡れで帰宅...,-10,0,0,,0
10ポイントLost↓,飲みすぎで二日酔い状態のまま、週明けになった,-10,0,0,,1
20ポイントLost↓,自転車がパンクして遅刻してしまった！,-20,0,0,,1
30ポイントLost↓↓,お出かけ先でスマホを紛失してしまった…,-30,0,0,,1
30ポイントLost↓↓,ロシアンルーレットたこ焼きで激辛たこ焼きに当たってしまった！,-30,0,0,,2
～1回休み～,飲み会楽しかったなと思ったら...実は夢だった！！,0,1,0,,1
～1回休み～,食べ飲み放題で食べ過ぎた...,0,1,0,,0
～1回休み～,運動不足解消する為、久しぶりにランニングをしたら筋肉痛になってしまった！,0,1,0,,1
～1回休み～,飲み会前に美容院に行ったら、変な髪形にされた…,0,1,0,,2
～2回休み～,終電で寝ていて気が付いたら、最寄駅から通り過ぎてしまった！,0,2,0,,1
～2回休み～,コロナにかかって、飲み会へ行けなくなった...,0,2,0,,2
2マス進む,時間に余裕があったので町散策♪,0,0,2,,0
1マス進む,無くしていたものが見つかった！！,0,0,1,,0
1マス戻る,気が付いたら財布を無くしてしまった...,0,0,-1,,0
1マス戻る,スマホの充電少ないのに充電器忘れてしまった！...,0,0,-1,,0
2マス戻る,鍵を忘れたことに気が付いて、遅れて飲み会へ参加…,0,0,-2,,2
～ポイントup↑↑タイム～,ミニゲーム発生！！ポイントupして一位を目指そう！,0,0,1,renda,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ポイントupして一位を目指そう！,0,0,1,furiwake,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ポイントupして一位を目指そう！,0,0,1,num_th,0
～ポイントup↑↑タイム～,ミニゲーム発生！！今のうちにたくさんポイントを貰っちゃおう♪,0,0,2,secoundcount,0
～ポイントup↑↑タイム～,ミニゲーム発生！！今のうちにたくさんポイントを貰っちゃおう♪,0,0,2,matoate,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ポイントを今のうちにたくさん貰っちゃおう♪,0,0,2,chase,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ゲームクリアしてポイントをGetしよう！,0,0,2,eggCatch,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ゲームクリアしてポイントをGetしよう！,0,0,2,renda,0
～ポイントup↑↑タイム～,ミニゲーム発生！！ゲームクリアしてポイントをGetしよう！,0,0,2,furiwake,0
～ポイントup↑↑タイム～,ミニゲーム発生！！Sランクを目指して頑張って！！,0,0,2,num_th,0
～ポイントup↑↑タイム～,ミニゲーム発生！！Sランクを目指して頑張って！！,0,0,1,secoundcount,0
～ポイントup↑↑タイム～,ミニゲーム発生！！Sランクを目指して頑張って！！,0,0,1,matoate,0
～ポイントup↑↑タイム～,ミニゲーム発生！！このゲームでどれくらいポイントもらえるかな？,0,0,1,chase,0
～ポイントup↑↑タイム～,ミニゲーム発生！！このゲームでどれくらいポイントもらえるかな？,0,0,1,eggCatch,0
